Freq.	V(n001)
9.61545864455065e+01	(-5.04531781270276e+01dB,1.79999432538701e+02°)
9.63762456595453e+01	(-5.04531781270296e+01dB,1.79999431230568e+02°)
9.65984158508447e+01	(-5.04531781270316e+01dB,1.79999429919419e+02°)
9.68210981973289e+01	(-5.04531781270336e+01dB,1.79999428605248e+02°)
9.70442938796374e+01	(-5.04531781270355e+01dB,1.79999427288047e+02°)
9.72680040811317e+01	(-5.04531781270375e+01dB,1.79999425967809e+02°)
9.74922299879008e+01	(-5.04531781270396e+01dB,1.79999424644528e+02°)
9.77169727887682e+01	(-5.04531781270416e+01dB,1.79999423318197e+02°)
9.79422336752980e+01	(-5.04531781270436e+01dB,1.79999421988808e+02°)
9.81680138418008e+01	(-5.04531781270456e+01dB,1.79999420656355e+02°)
9.83943144853407e+01	(-5.04531781270477e+01dB,1.79999419320830e+02°)
9.86211368057412e+01	(-5.04531781270498e+01dB,1.79999417982226e+02°)
9.88484820055915e+01	(-5.04531781270518e+01dB,1.79999416640537e+02°)
9.90763512902534e+01	(-5.04531781270539e+01dB,1.79999415295754e+02°)
9.93047458678671e+01	(-5.04531781270560e+01dB,1.79999413947872e+02°)
9.95336669493578e+01	(-5.04531781270581e+01dB,1.79999412596882e+02°)
9.97631157484424e+01	(-5.04531781270602e+01dB,1.79999411242778e+02°)
9.99930934816357e+01	(-5.04531781270623e+01dB,1.79999409885552e+02°)
1.00223601368257e+02	(-5.04531781270644e+01dB,1.79999408525198e+02°)
1.00454640630435e+02	(-5.04531781270666e+01dB,1.79999407161708e+02°)
1.00686212493118e+02	(-5.04531781270687e+01dB,1.79999405795074e+02°)
1.00918318184076e+02	(-5.04531781270709e+01dB,1.79999404425291e+02°)
1.01150958933912e+02	(-5.04531781270730e+01dB,1.79999403052349e+02°)
1.01384135976063e+02	(-5.04531781270752e+01dB,1.79999401676243e+02°)
1.01617850546809e+02	(-5.04531781270774e+01dB,1.79999400296964e+02°)
1.01852103885284e+02	(-5.04531781270796e+01dB,1.79999398914506e+02°)
1.02086897233475e+02	(-5.04531781270818e+01dB,1.79999397528860e+02°)
1.02322231836232e+02	(-5.04531781270840e+01dB,1.79999396140021e+02°)
1.02558108941277e+02	(-5.04531781270863e+01dB,1.79999394747980e+02°)
1.02794529799205e+02	(-5.04531781270885e+01dB,1.79999393352730e+02°)
1.03031495663498e+02	(-5.04531781270907e+01dB,1.79999391954264e+02°)
1.03269007790525e+02	(-5.04531781270930e+01dB,1.79999390552573e+02°)
1.03507067439550e+02	(-5.04531781270953e+01dB,1.79999389147652e+02°)
1.03745675872744e+02	(-5.04531781270975e+01dB,1.79999387739492e+02°)
1.03984834355183e+02	(-5.04531781270998e+01dB,1.79999386328086e+02°)
1.04224544154863e+02	(-5.04531781271021e+01dB,1.79999384913426e+02°)
1.04464806542700e+02	(-5.04531781271044e+01dB,1.79999383495505e+02°)
1.04705622792543e+02	(-5.04531781271068e+01dB,1.79999382074315e+02°)
1.04946994181174e+02	(-5.04531781271091e+01dB,1.79999380649849e+02°)
1.05188921988322e+02	(-5.04531781271114e+01dB,1.79999379222100e+02°)
1.05431407496663e+02	(-5.04531781271138e+01dB,1.79999377791059e+02°)
1.05674451991831e+02	(-5.04531781271162e+01dB,1.79999376356719e+02°)
1.05918056762423e+02	(-5.04531781271185e+01dB,1.79999374919073e+02°)
1.06162223100009e+02	(-5.04531781271209e+01dB,1.79999373478113e+02°)
1.06406952299134e+02	(-5.04531781271233e+01dB,1.79999372033831e+02°)
1.06652245657327e+02	(-5.04531781271257e+01dB,1.79999370586219e+02°)
1.06898104475110e+02	(-5.04531781271281e+01dB,1.79999369135270e+02°)
1.07144530056001e+02	(-5.04531781271306e+01dB,1.79999367680977e+02°)
1.07391523706525e+02	(-5.04531781271330e+01dB,1.79999366223331e+02°)
1.07639086736217e+02	(-5.04531781271355e+01dB,1.79999364762325e+02°)
1.07887220457631e+02	(-5.04531781271379e+01dB,1.79999363297951e+02°)
1.08135926186349e+02	(-5.04531781271404e+01dB,1.79999361830201e+02°)
1.08385205240983e+02	(-5.04531781271429e+01dB,1.79999360359068e+02°)
1.08635058943185e+02	(-5.04531781271454e+01dB,1.79999358884543e+02°)
1.08885488617656e+02	(-5.04531781271479e+01dB,1.79999357406619e+02°)
1.09136495592148e+02	(-5.04531781271504e+01dB,1.79999355925289e+02°)
1.09388081197476e+02	(-5.04531781271530e+01dB,1.79999354440543e+02°)
1.09640246767521e+02	(-5.04531781271555e+01dB,1.79999352952375e+02°)
1.09892993639239e+02	(-5.04531781271580e+01dB,1.79999351460776e+02°)
1.10146323152671e+02	(-5.04531781271606e+01dB,1.79999349965739e+02°)
1.10400236650943e+02	(-5.04531781271632e+01dB,1.79999348467255e+02°)
1.10654735480280e+02	(-5.04531781271658e+01dB,1.79999346965317e+02°)
1.10909820990009e+02	(-5.04531781271684e+01dB,1.79999345459917e+02°)
1.11165494532568e+02	(-5.04531781271710e+01dB,1.79999343951046e+02°)
1.11421757463513e+02	(-5.04531781271736e+01dB,1.79999342438697e+02°)
1.11678611141525e+02	(-5.04531781271763e+01dB,1.79999340922861e+02°)
1.11936056928415e+02	(-5.04531781271789e+01dB,1.79999339403532e+02°)
1.12194096189136e+02	(-5.04531781271816e+01dB,1.79999337880700e+02°)
1.12452730291787e+02	(-5.04531781271843e+01dB,1.79999336354357e+02°)
1.12711960607619e+02	(-5.04531781271870e+01dB,1.79999334824496e+02°)
1.12971788511047e+02	(-5.04531781271897e+01dB,1.79999333291108e+02°)
1.13232215379651e+02	(-5.04531781271924e+01dB,1.79999331754185e+02°)
1.13493242594189e+02	(-5.04531781271951e+01dB,1.79999330213719e+02°)
